Experiment,Latent Shape,LR,Dropout,Epochs,Train Loss,Val Loss,Test Loss
exp_01_4x16,"(4, 16)",0.001,0.0,30,0.010984791442751884,0.016415929421782494,0.016415927559137344
exp_02_2x4,"(2, 4)",0.001,0.0,30,0.039282456040382385,0.04580258950591087,0.04580259695649147
exp_03_4x4,"(4, 4)",0.001,0.0,30,0.027209606021642685,0.03314340487122536,0.03314340487122536
exp_04_8x8,"(8, 8)",0.001,0.0,30,0.010825949721038342,0.017069904133677483,0.017069905996322632
exp_05_4x8,"(4, 8)",0.001,0.0,30,0.017736153677105904,0.023869585245847702,0.023869583383202553
exp_06_2x8,"(2, 8)",0.001,0.0,30,0.026819845661520958,0.033168911933898926,0.033168915659189224
exp_07_1x8,"(1, 8)",0.001,0.0,30,0.03923792764544487,0.04515424743294716,0.04515423998236656
